Timestep,P(kW),Q(kvar)
2012-07-07 06:00:00,0.3323,0.1279
2012-07-07 06:30:00,0.3881,0.152
2012-07-07 07:00:00,0.4265,0.1564
2012-07-07 07:30:00,0.4244,0.1667
2012-07-07 08:00:00,0.3652,0.1357
2012-07-07 08:30:00,0.2858,0.1108
2012-07-07 09:00:00,0.3007,0.1187
2012-07-07 09:30:00,0.3111,0.1183
2012-07-07 10:00:00,0.3754,0.135
2012-07-07 10:30:00,0.666,0.221
2012-07-07 11:00:00,0.227,0.0872
2012-07-07 11:30:00,0.2344,0.0871
2012-07-07 12:00:00,0.4479,0.1738
2012-07-07 12:30:00,0.3785,0.1524
2012-07-07 13:00:00,0.4274,0.1679
2012-07-07 13:30:00,0.515,0.207
2012-07-07 14:00:00,0.4844,0.1903
2012-07-07 14:30:00,0.5948,0.2289
2012-07-07 15:00:00,0.442,0.1697
2012-07-07 15:30:00,0.4165,0.1666
2012-07-07 16:00:00,0.5414,0.2096
2012-07-07 16:30:00,0.5313,0.2064
2012-07-07 17:00:00,0.5991,0.2373
2012-07-07 17:30:00,0.557,0.2204
2012-07-07 18:00:00,0.4605,0.1785
2012-07-07 18:30:00,0.7245,0.2693
2012-07-07 19:00:00,0.4359,0.1676
2012-07-07 19:30:00,0.473,0.1835
2012-07-07 20:00:00,0.5053,0.1957
2012-07-07 20:30:00,0.513,0.1967
2012-07-07 21:00:00,0.5334,0.2043
2012-07-07 21:30:00,0.5459,0.2117
2012-07-07 22:00:00,0.472,0.1828
2012-07-07 22:30:00,0.267,0.1074
2012-07-07 23:00:00,0.3566,0.1397
2012-07-07 23:30:00,0.3166,0.1239
2012-07-08 00:00:00,0.3172,0.1227
2012-07-08 00:30:00,0.2934,0.1165
2012-07-08 01:00:00,0.339,0.1352
2012-07-08 01:30:00,0.2932,0.1178
2012-07-08 02:00:00,0.2687,0.1097
2012-07-08 02:30:00,0.2088,0.0858
2012-07-08 03:00:00,0.2449,0.0969
2012-07-08 03:30:00,0.2501,0.1009
2012-07-08 04:00:00,0.2256,0.0929
2012-07-08 04:30:00,0.1887,0.0775
2012-07-08 05:00:00,0.2162,0.0868
2012-07-08 05:30:00,0.3007,0.1174
2012-07-08 06:00:00,0.3105,0.1213
2012-07-08 06:30:00,0.3809,0.149
